,병원이름,별점,리뷰수,주소,전화,location_type
309,메종동물병원,4.3,6건,"서울 중구 다산로 230 하나빌딩 1층, (지번) 신당동 102-6",02-2038-7555,0
310,드림동물병원,4.7,13건,"서울 성북구 동소문로 74, (지번) 동소문동5가 8-1",02-928-7582,0
311,임재성동물의료센터,0.0,0건,"서울 강남구 일원로9길 74 1층, (지번) 일원동 645-11",02-451-7582,0
312,창문동물병원,5.0,5건,"서울 강북구 월계로 35, (지번) 미아동 48-24",02-988-0251,0
313,닥터표동물병원,3.4,11건,"서울 강동구 올림픽로 566 1층, (지번) 성내동 322-7",02-484-4063,0
314,고려동물병원,1.0,1건,"서울 관악구 시흥대로 552-1, (지번) 신림동 1655-23",02-861-7582,0
315,파리스동물병원,1.0,2건,"서울 양천구 목동서로 100 목동신시가지아파트3단지 상가 1층, (지번) 목동 903",02-2644-8878,0
316,위즈동물병원,2.0,4건,"서울 강북구 도봉로 202, (지번) 미아동 197-9",02-987-7959,0
317,서초M동물의료센터,4.0,3건,"서울 서초구 서초중앙로 72, (지번) 서초동 1624-14",02-588-7511,0
318,캥거루동물병원,4.4,7건,"서울 구로구 오류로 55, (지번) 오류동 166-9",02-2066-2579,0
319,아이사랑동물병원,4.7,10건,"서울 강북구 삼양로24길 19 현대성우아파트 상가 102동 110호, (지번) 미아동 561-2",02-946-0011,0
320,우장산동물의료센터,5.0,1건,"서울 강서구 강서로 282, (지번) 내발산동 702-16",02-2664-8275,0
321,양지가축동물병원,5.0,2건,"서울 강동구 천호대로191길 6, (지번) 길동 402-10",02-478-2208,0
322,서울탑동물병원,4.0,5건,"서울 양천구 중앙로 237, (지번) 신정동 1182-11",02-2601-8875,0
323,제일종합동물병원,2.0,4건,"서울 금천구 독산로 58, (지번) 시흥동 837-37",02-894-3030,0
324,오거리동물병원,1.0,9건,"서울 은평구 가좌로 239, (지번) 응암동 589-12",02-306-0158,0
325,한가람동물의료센터,2.9,11건,"서울 영등포구 도신로 252 1층, (지번) 신길동 100-12",02-844-7775,0
326,나눔동물병원,4.4,5건,"서울 관악구 남부순환로 1964, (지번) 봉천동 1656-22",02-888-0976,0
327,참동물병원,4.5,6건,"서울 영등포구 영등포로 376, (지번) 신길동 95-39",02-841-0075,0
328,신림종합동물병원,3.0,6건,"서울 관악구 신림로 157-1, (지번) 신림동 395-53",02-877-5599,0
329,위드펫동물병원,2.3,3건,"서울 송파구 백제고분로 161, (지번) 잠실동 234-17",02-2202-0075,0
330,상아동물병원,5.0,1건,"서울 양천구 목동로 181, (지번) 신정4동 995-4",02-2644-0069,0
331,백슬동물병원,3.2,9건,"서울 중구 만리재로 177 105호, (지번) 만리동2가 10-1",,0
332,박효리군동물병원,5.0,2건,"서울 마포구 포은로 64, (지번) 망원동 338-76",02-326-0275,0
333,개포별빛동물병원,3.7,3건,"서울 강남구 논현로 70 동성빌딩 1층, (지번) 개포동 1229-11",02-573-7582,0
334,양천종합동물병원,1.6,5건,"서울 양천구 오목로 45, (지번) 신월4동 444-11",02-2607-0022,0
335,함께하는동물병원,4.3,7건,"서울 성동구 독서당로 200, (지번) 옥수동 263-1",02-2299-3283,0
336,다솜동물병원,5.0,2건,"서울 은평구 응암로 152 1층, (지번) 응암동 603-52",02-3477-7667,0
337,노룬산동물병원,5.0,6건,"서울 광진구 뚝섬로 462, (지번) 자양4동 236-127",02-464-2748,0
338,보라매동물병원,4.4,5건,"서울 관악구 봉천로 239, (지번) 봉천동 971-14",02-885-2130,0
339,성신동물병원,4.4,7건,"서울 성북구 아리랑로 18, (지번) 동선동5가 1",02-927-7517,0
340,서울종합동물병원,1.8,8건,"서울 관악구 신림로 233, (지번) 서림동 408-143",02-888-8807,0
341,노아동물병원,0.0,0건,"서울 양천구 목동동로10길 6 1층, (지번) 신정동 294-62",02-2654-6183,0
342,피카소동물병원,3.3,7건,"서울 광진구 광나루로 392-1, (지번) 화양동 216",02-467-3673,0
343,주주동물병원,3.8,4건,"서울 동대문구 사가정로 121, (지번) 전농동 38-24",02-2244-1081,0
344,트윈스동물병원,4.2,5건,"서울 도봉구 도봉로110다길 20, (지번) 창동 650-11",02-906-7575,0
345,더블유동물병원,5.0,3건,"서울 관악구 은천로 85 1,2층, (지번) 봉천동 622-74",02-883-0007,0
346,더케이동물병원,4.0,9건,"서울 동대문구 답십리로 140 세기프라자 210호,211호, (지번) 답십리동 1003-2",02-2213-8875,0
347,신천동물병원,2.3,12건,"서울 송파구 석촌호수로 108, (지번) 잠실동 242-4",02-420-0975,0
348,바우라움동물병원,5.0,4건,"서울 성동구 왕십리로 241 파크에비뉴 엔터식스 4층, (지번) 행당동 155-1",02-6454-6182,0
349,해동물병원,4.2,5건,"서울 종로구 지봉로 53-1 1층, (지번) 창신동 80-1",02-744-9098,0
350,현대종합동물병원,3.4,5건,"서울 도봉구 도봉로 669, (지번) 방학동 680-6",02-3491-8000,0
351,로잔동물의료센터,4.0,28건,"서울 관악구 관악로29길 3 수안빌딩 1층, (지번) 봉천동 40-29",02-872-7588,0
352,한빛동물병원,4.3,3건,"서울 도봉구 덕릉로 256, (지번) 창동 568-5",02-992-0074,0
353,아띠동물병원,3.3,7건,"서울 동대문구 사가정로 51, (지번) 전농동 322-31",02-6242-8275,0
354,엔젤동물병원,5.0,2건,"서울 중랑구 겸재로 187, (지번) 면목동 102-51",02-435-0166,0
355,푸른동물종합병원,1.0,6건,"서울 동대문구 홍릉로 48-1, (지번) 청량리동 359",02-963-7582,0
356,신길온동물병원,5.0,6건,"서울 영등포구 신풍로 77 래미안에스티움상가동 C동 119호, (지번) 신길동 4950",02-848-7975,0
357,유림동물안과병원,3.7,3건,"서울 서초구 강남대로 631 크레신타워 1층, (지번) 잠원동 8-24",02-593-1045,0
358,우리동생동물병원 청담점,4.1,18건,"서울 강남구 학동로81길 9 라테라스 청담 1층, (지번) 청담동 76-12",02-335-3333,0
359,동물병원공감,4.2,5건,"서울 강동구 양재대로 1609, (지번) 천호동 25-6",02-484-7975,0
360,포이종합동물병원,1.0,2건,"서울 강남구 개포로 223, (지번) 개포동 1258-1",,0
361,서초동물병원,2.0,4건,"서울 서초구 효령로57길 4, (지번) 서초동 1603-66",02-582-2357,0
362,펫트리 동물의료센터,4.0,4건,"서울 강동구 양재대로 1453 1층, (지번) 길동 413-46",02-6949-5775,0
363,파란종합동물병원,3.3,8건,"서울 양천구 신월로 149, (지번) 신월동 546-25",,0
364,굿파파24시 반려동물건강검진센터,1.9,16건,"서울 동작구 사당로 289, (지번) 사당동 148-9",02-593-8275,0
365,롯데동물병원,5.0,2건,"서울 노원구 동일로207길 17, (지번) 중계동 503",02-973-5959,0
366,유앤동물의료원,5.0,4건,"서울 송파구 양재대로 1148, (지번) 오금동 17",02-2043-7582,0
367,쓰담쓰담 동물병원,5.0,7건,"서울 성북구 종암로 113 1층, (지번) 종암동 86-1",02-927-7585,0
368,마음을나누는 동물병원,3.6,19건,"서울 서대문구 신촌로35길 10 이편한세상신총4단지 지하1층, (지번) 북아현동 1015",02-365-7582,0
369,신월동물병원,5.0,1건,"서울 양천구 신월로 124 원두빌딩 1층, (지번) 신월동 1002-3",02-2607-7582,0
370,우리덕구동물병원,5.0,5건,"서울 은평구 진관2로 77 은평뉴타운우물골 205동 B104호, (지번) 진관동 83",02-6953-8275,0
371,그레이스 동물병원,2.6,10건,"서울 강남구 학동로6길 18, (지번) 논현1동 122-20",02-3442-5554,0
372,제인동물병원,0.0,0건,"서울 성동구 뚝섬로 395, (지번) 성수동2가 339-23",02-468-7582,0
373,오류동물병원,0.0,0건,"서울 구로구 경인로 236 103동 1층, (지번) 오류동 33-1",02-2612-3232,0
374,정말로동물병원,4.6,10건,"서울 양천구 신월로10길 22 2층, (지번) 신월동 559-7",02-2691-8119,0
375,카카오N동물병원,5.0,4건,"서울 성북구 길음로 33 래미안 8단지 아파트 25호 카카오N동물병원, (지번) 길음동 1284-17",,0
376,예일동물병원,,,"서울 관악구 봉천로 232 2층, (지번) 신림동 1429-3",02-832-0081,0
377,우솔동물병원,4.3,6건,"서울 노원구 화랑로 349, (지번) 월계동 26-13",02-973-7588,0
378,우리동물병원,3.3,6건,"서울 서대문구 통일로 197, (지번) 영천동 299",02-393-6675,0
379,올스타동물의료센터,3.0,8건,"서울 강서구 가로공원로 198, (지번) 화곡동 371-32",02-2065-7582,0
380,삼양동물병원,5.0,1건,"서울 강북구 삼양로 190 백운M빌딩 1층, (지번) 미아동 734-258",02-989-9552,0
381,사랑동물병원,5.0,3건,"서울 강동구 천중로49길 4 1층, (지번) 길동 345-5",02-6403-1750,0
382,개명동물종합병원,3.0,2건,"서울 구로구 개봉로 50, (지번) 개봉2동 403-141",02-2619-0888,0
383,라파엘종합동물병원,0.0,0건,"서울 서대문구 연희로 132, (지번) 연희동 88-20",02-333-8632,0
384,한얼동물병원,0.0,0건,"서울 은평구 응암로 226, (지번) 응암동 576-25",02-304-5553,0
385,송정동물메디컬센터,1.8,5건,"서울 강서구 공항대로 39, (지번) 공항동 28-10",02-2661-0530,0
386,힐링동물병원,4.2,5건,"서울 마포구 백범로31길 7 공덕SK리더스뷰 101동 104호, (지번) 공덕동 385-78",02-713-8275,0
387,가락동물병원,4.6,20건,"서울 송파구 오금로 247, (지번) 방이동 226-9",02-413-0075,0
388,미래동물병원,3.7,3건,"서울 노원구 공릉로 168, (지번) 공릉동 411-26",02-949-5975,0
389,푸른들동물병원,5.0,1건,"서울 강서구 양천로 663-1 1층, (지번) 염창동 246-11",02-2699-1222,0
390,메디펫동물병원,5.0,4건,"서울 은평구 통일로 885, (지번) 갈현동 394-27",02-384-0075,0
391,나은동물병원,3.7,6건,"서울 강남구 개포로 243 흥진빌딩 101호, (지번) 개포동 1259-4",02-577-7582,0
392,드림동물병원,5.0,11건,"서울 구로구 중앙로8길 11, (지번) 고척동 343",02-3666-0204,0
393,신풍동물병원,1.6,7건,"서울 영등포구 신길로 70, (지번) 신길동 3611",02-835-7572,0
394,도담동물병원,1.0,2건,"서울 도봉구 도봉로 875, (지번) 도봉1동 562-26",02-955-8400,0
395,비타민동물병원,4.0,4건,"서울 관악구 인헌6길 8, (지번) 봉천동 1638-24",02-875-7582,0
396,동물병원위드,3.2,16건,"서울 강북구 덕릉로 79, (지번) 수유동 47-69",02-904-0075,0
397,온동물병원,3.1,7건,"서울 금천구 독산로 225, (지번) 독산동 1023-14",,0
398,다루동물병원,4.4,13건,"서울 은평구 불광로 60 라비앙타워 102호, (지번) 불광동 554-1",02-356-8353,0
399,21세기 종합동물병원,4.0,4건,"서울 용산구 보광로 46, (지번) 보광동 259-1",02-749-6750,0
400,웰펫동물병원,5.0,3건,"서울 중구 동호로 178, (지번) 신당동 373-64",02-2256-7582,0
401,여의도동물병원,4.8,4건,"서울 영등포구 국제금융로 108 은하빌딩 4층, (지번) 여의도동 53-3",02-783-7580,0
402,가나동물병원,4.0,1건,"서울 도봉구 방학로 162, (지번) 방학동 665-11",02-3491-4748,0
403,콩닥동물병원,4.7,13건,"서울 마포구 마포대로 127 풍림VIP텔빌딩 1층 102호, (지번) 공덕동 404",02-6383-0303,0
404,담은동물병원,4.1,9건,"서울 은평구 통일로 796, (지번) 불광동 643",02-356-9475,0
405,닥터스종합동물병원,3.1,11건,"서울 노원구 월계로 336 상천빌딩 1층, (지번) 월계동 292-59",02-905-7588,0
406,고덕고래힐동물병원,0.0,0건,"서울 강동구 아리수로50길 50 고덕래미안힐스테이트 상가 2층 212호, 213호, (지번) 고덕동 688",02-441-5515,0
407,굿모닝동물병원,5.0,2건,"서울 강서구 방화대로47가길 7, (지번) 방화동 830-3",02-2665-8256,0
408,광진동물의료센터,1.8,21건,"서울 광진구 광나루로 507, (지번) 구의동 68-37",02-457-4545,0
409,보노보노동물병원,3.0,8건,"서울 강북구 삼양로 336 1층, (지번) 수유동 472-268",02-903-5525,0
410,마음사랑동물병원,0.0,0건,"서울 강서구 수명로 82, (지번) 내발산동 750",02-2666-2611,0
411,이상윤동물병원,5.0,5건,"서울 용산구 이촌로 248, (지번) 이촌동 300-23",02-792-5455,0
412,동물병원다온,5.0,1건,"서울 강남구 도곡로 174 1~2층, (지번) 도곡동 545-6",02-576-1239,0
413,신월라온동물의료센터,5.0,2건,"서울 양천구 신월로 179 1층, (지번) 신월동 536-6",02-2694-7575,0
414,더편한동물병원,5.0,7건,"서울 성북구 숭인로 50 길음래미안센터피스 108동 상가 2층 2203호, (지번) 길음동 486-9",02-982-7975,0
415,로이동물병원,3.8,6건,"서울 성북구 아리랑로 27, (지번) 동소문동6가 237",02-927-7878,0
416,드림펫동물병원,5.0,1건,"서울 광진구 능동로 407, (지번) 중곡동 166-6",02-464-7588,0
417,두리틀동물병원,3.0,5건,"서울 서대문구 응암로 66, (지번) 북가좌동 306-21",02-302-3275,0
418,한남동물병원,4.3,11건,"서울 용산구 대사관로24길 28, (지번) 한남동 642-4",02-793-9230,0
419,하트온동물병원,5.0,4건,"서울 강서구 곰달래로 260, (지번) 화곡동 796-1",02-2644-5975,0
420,도림하나동물병원,0.0,0건,"서울 영등포구 도영로 31 1층, (지번) 도림동 216-2",,0
421,별난동물병원,4.5,2건,"서울 도봉구 도봉로 603, (지번) 쌍문동 716-31",02-905-9119,0
422,준25시동물병원,0.0,0건,"서울 송파구 석촌호수로 138, (지번) 삼전동 22-1",02-415-7580,0
423,아이본동물병원,4.0,10건,"서울 광진구 자양로 48 1층 104호, (지번) 자양동 681",02-455-5975,0
424,왈츠샵동물병원,5.0,7건,"서울 영등포구 가마산로 324 1층 1, 2호, (지번) 대림동 776-2",02-834-7582,0
425,화랑동물병원,3.7,3건,"서울 노원구 화랑로 473, (지번) 공릉동 653-10",02-949-7512,0
426,고척원동물의료센터,5.0,2건,"서울 구로구 경인로 403, (지번) 고척동 76-38",02-856-7582,0
427,하나사랑 동물종합병원,5.0,2건,"서울 동작구 상도로 171, (지번) 상도2동 366-24",02-822-7574,0
428,이을반려동물케어센터,,,"서울 서초구 사평대로20길 3 1층, (지번) 반포동 106-13",02-593-7575,0
429,바라봄동물병원,5.0,3건,"서울 성동구 왕십리로 410 센트라스 127동 지하 3호, (지번) 상왕십리동 805-2",02-2297-9300,0
430,굿모닝동물병원,4.4,5건,"서울 마포구 독막로 295, (지번) 염리동 164-4",02-711-3375,0
431,대현동물병원,4.4,8건,"서울 양천구 목동중앙본로 100, (지번) 목동 531-13",02-2651-1855,0
432,사랑해요동물병원,5.0,1건,"서울 도봉구 시루봉로 59, (지번) 쌍문동 262-10",02-907-7512,0
433,닥터멍동물병원,1.0,2건,"서울 중랑구 상봉로 17 1층, (지번) 면목동 71-41",02-439-7582,0
434,봄날동물병원,4.3,6건,"서울 양천구 목동중앙로 89, (지번) 목동 753",02-6949-0413,0
435,행복한동물병원,3.1,7건,"서울 관악구 은천로 121, (지번) 봉천동 464-38",02-887-7179,0
436,서서울호수동물병원,2.4,5건,"서울 양천구 남부순환로 421 1층, (지번) 신월동 130-5",02-6959-8448,0
437,금천종합동물병원,1.0,1건,"서울 금천구 독산로 188, (지번) 독산동 378-397",02-894-8085,0
438,위례별동물의료센터,5.0,13건,"서울 송파구 위례광장로 230 위례아이파크 상가a동 119,120호, (지번) 장지동 884",02-401-7579,0
439,강서동물종합병원,2.9,12건,"서울 강서구 곰달래로15길 46, (지번) 화곡동 421-23",,0
440,피닉스동물병원,3.9,7건,"서울 동작구 상도로 43, (지번) 대방동 395-4",02-813-7579,0
441,은행나무동물병원,5.0,3건,"서울 금천구 금하로 694, (지번) 시흥동 909-5",02-804-0975,0
442,한동물병원,3.5,8건,"서울 서초구 동산로 66, (지번) 양재동 377-4",02-577-3690,0
443,구로종합동물병원,2.3,3건,"서울 구로구 경인로 638 신도림 sk뷰 101동 103호,104호, (지번) 신도림동 432-1",02-2631-0085,0
444,길음동물병원,5.0,4건,"서울 성북구 동소문로 248, (지번) 길음동 1276",02-913-1874,0
445,교대동물병원,2.6,5건,"서울 서초구 서초대로 325, (지번) 서초동 1690-2",02-596-1175,0
446,삼성동물종합병원,3.0,6건,"서울 도봉구 도봉로 499, (지번) 쌍문동 88-115",02-902-7582,0
447,내방동물병원,1.9,14건,"서울 서초구 서초대로 108, (지번) 방배동 898-1",02-3473-8274,0
448,박형우동물병원,5.0,3건,"서울 강동구 올림픽로 568 2층, (지번) 성내동 322-6",02-488-8275,0
449,하나동물병원,4.4,7건,"서울 서초구 헌릉로8길 10-12, (지번) 신원동 412-1",02-574-0511,0
450,세진동물병원,3.9,11건,"서울 중랑구 망우로 396, (지번) 망우동 490-7",02-436-7311,0
451,도담동물병원,4.0,3건,"서울 은평구 역말로 7, (지번) 역촌동 51-22",02-388-0275,0
452,우신종합동물병원,3.7,6건,"서울 영등포구 신길로 168, (지번) 신길동 232-15",02-836-6509,0
453,한마음동물병원,4.3,3건,"서울 은평구 갈현로 35, (지번) 신사1동 9-34",02-355-7931,0
454,금강종합동물병원,4.0,4건,"서울 구로구 경인로 196 1층, (지번) 오류동 48-1",02-2686-8008,0
455,도담도담동물병원,3.7,10건,"서울 성북구 화랑로 76 코업스타클래스 114 1층 ,114-1호,115호, (지번) 하월곡동 46-73",02-943-7582,0
456,희망동물병원,4.8,9건,"서울 송파구 올림픽로 88, (지번) 잠실동 175-12",02-414-7588,0
457,안암동물병원,5.0,1건,"서울 동대문구 안암로 40, (지번) 용두동 732-5",02-925-3686,0
458,화곡동물병원,0.0,0건,"서울 강서구 까치산로 80, (지번) 화곡동 24-167",02-2602-0507,0
459,빛가온동물병원,4.5,2건,"서울 서대문구 통일로 375, (지번) 홍제동 90-67",02-736-5834,0
460,압구정 웰동물병원,5.0,5건,"서울 강남구 압구정로 108, (지번) 신사동 528-3",02-3443-0275,0
461,강북동물병원,5.0,2건,"서울 성북구 종암로 65, (지번) 종암동 19-1",02-924-4555,0
462,모모동물병원,5.0,1건,"서울 강서구 마곡중앙1로 20 마곡M시그니처 205호, (지번) 마곡동 798-14",02-2662-7975,0
463,보람동물병원,1.0,1건,"서울 광진구 군자로 84, (지번) 군자동 363-4",02-465-7582,0
464,커비동물병원,5.0,2건,"서울 강남구 강남대로122길 47 보령빌딩 1층 104호, (지번) 논현동 159-23",02-545-8952,0
465,벨라동물병원,,,"서울 구로구 구로중앙로34길 30, (지번) 구로동 501-12",02-859-8775,0
466,늘푸른종합동물병원,4.4,5건,"서울 송파구 마천로5길 16, (지번) 오금동 17-2",02-449-0101,0
